visitorid	itemid	event
1	1	1
1	16	1
2	21	1
4	60	1
7	103	1
7	105	1
7	106	1
7	110	1
8	117	1
9	124	1
9	126	1
9	127	1
9	134	1
9	135	1
9	136	1
9	141	1
9	151	1
10	159	1
10	160	1
10	163	1
11	167	1
11	169	1
11	170	1
14	229	1
14	230	1
16	246	1
16	247	1
16	248	1
16	249	1
17	255	1
17	261	1
19	276	1
19	279	1
22	317	1
22	318	1
22	322	1
22	324	1
22	326	1
22	330	1
22	331	1
22	332	1
22	333	1
22	337	1
22	356	1
22	357	1
22	361	1
26	400	1
26	402	1
26	404	1
26	408	1
27	410	1
27	411	1
27	412	1
33	478	1
33	480	1
33	481	1
33	482	1
35	75	1
35	181	1
35	287	1
35	288	1
35	326	1
35	468	1
35	496	1
35	502	1
35	505	1
35	507	1
35	511	1
35	512	1
35	513	1
35	519	1
35	520	1
35	524	1
35	527	1
35	529	1
35	531	1
35	535	1
35	537	1
35	538	1
35	539	1
35	543	1
35	544	1
35	548	1
35	551	1
35	558	1
35	560	1
37	579	1
38	587	1
38	589	1
41	607	1
42	616	1
42	618	1
42	620	1
42	622	1
42	624	1
43	626	1
43	627	1
43	628	1
45	640	1
45	641	1
45	649	1
45	652	1
46	661	1
46	669	1
48	532	1
51	728	1
53	765	1
53	767	1
55	788	1
58	222	1
58	816	1
58	820	1
58	823	1
58	824	1
58	825	1
64	876	1
67	93	1
67	403	1
67	932	1
67	933	1
68	938	1
68	946	1
69	738	1
69	949	1
69	951	1
71	535	1
71	624	1
71	968	1
71	969	1
71	970	1
71	973	1
71	980	1
72	948	1
72	982	1
72	986	1
72	991	1
72	992	1
72	993	1
73	996	1
73	999	1
73	1000	1
76	508	1
77	1040	1
80	1065	1
80	1068	1
80	1069	1
83	248	1
85	395	1
85	1128	1
85	1136	1
85	1233	1
85	1262	1
85	1277	1
86	1236	1
86	1294	1
86	1295	1
86	1296	1
86	1297	1
86	1298	1
90	248	1
90	1329	1
91	1332	1
91	1333	1
91	1336	1
91	1337	1
92	1343	1
92	1346	1
94	1189	1
94	1366	1
94	1368	1
95	1379	1
96	43	1
96	571	1
96	1389	1
97	1400	1
103	47	1
103	1471	1
103	1475	1
103	1482	1
103	1483	1
104	1317	1
106	1516	1
107	424	1
107	614	1
107	1519	1
107	1520	1
107	1523	1
107	1525	1
107	1526	1
107	1528	1
108	28	1
108	161	1
108	163	1
108	1532	1
112	59	1
112	60	1
116	249	1
116	298	1
116	424	1
116	529	1
116	770	1
116	837	1
116	1026	1
116	1047	1
116	1115	1
116	1602	1
116	1615	1
116	1620	1
116	1633	1
116	1639	1
116	1646	1
116	1655	1
116	1668	1
116	1669	1
116	1674	1
116	1698	1
116	1703	1
116	1704	1
116	1705	1
116	1706	1
116	1714	1
116	1718	1
116	1719	1
116	1720	1
116	1723	1
116	1737	1
116	1743	1
116	1745	1
116	1752	1
116	1753	1
116	1755	1
116	1761	1
116	1762	1
116	1766	1
116	1767	1
117	1782	1
118	1443	1
118	1446	1
118	1791	1
121	531	1
121	1739	1
121	1811	1
121	1813	1
121	1830	1
121	1846	1
121	1847	1
121	1848	1
121	1855	1
123	1258	1
124	96	1
124	186	1
124	390	1
124	625	1
124	1133	1
124	1577	1
124	1782	1
124	1816	1
124	1876	1
124	1880	1
124	1885	1
124	1886	1
124	1893	1
124	1903	1
124	1904	1
124	1914	1
124	1921	1
124	1929	1
124	1932	1
124	1946	1
124	1947	1
124	1960	1
124	1977	1
124	1981	1
124	1982	1
124	2001	1
124	2009	1
124	2021	1
