visitorid	itemid	event
1	1	1
1	16	1
7	103	1
7	105	1
7	106	1
7	110	1
8	117	1
9	126	1
9	127	1
9	134	1
9	141	1
10	159	1
10	160	1
10	163	1
14	229	1
14	230	1
16	246	1
16	249	1
17	255	1
19	276	1
19	279	1
27	410	1
27	412	1
27	413	1
35	75	1
35	181	1
35	287	1
35	288	1
35	326	1
35	468	1
35	496	1
35	502	1
35	505	1
35	507	1
35	511	1
35	512	1
35	519	1
35	524	1
35	527	1
35	529	1
35	531	1
35	535	1
35	537	1
35	538	1
35	539	1
35	543	1
35	544	1
35	551	1
35	558	1
35	560	1
38	587	1
38	589	1
41	607	1
42	616	1
42	617	1
42	618	1
43	626	1
43	627	1
43	628	1
46	669	1
67	93	1
68	938	1
68	946	1
71	535	1
71	624	1
71	970	1
76	508	1
77	1040	1
80	1065	1
80	1068	1
80	1069	1
85	1128	1
85	1277	1
86	1236	1
86	1294	1
86	1295	1
86	1296	1
86	1297	1
86	1298	1
90	248	1
94	413	1
94	1189	1
94	1366	1
94	1368	1
95	1379	1
103	47	1
103	1475	1
103	1482	1
107	424	1
107	1529	1
108	28	1
108	161	1
108	163	1
108	1532	1
116	249	1
116	298	1
116	424	1
116	529	1
116	770	1
116	837	1
116	1026	1
116	1047	1
116	1115	1
116	1163	1
116	1602	1
116	1615	1
116	1620	1
116	1633	1
116	1639	1
116	1646	1
116	1655	1
116	1668	1
116	1669	1
116	1674	1
116	1698	1
116	1704	1
116	1705	1
116	1706	1
116	1712	1
116	1718	1
116	1719	1
116	1720	1
116	1723	1
116	1737	1
116	1745	1
116	1752	1
116	1753	1
116	1755	1
116	1761	1
116	1762	1
116	1766	1
116	1767	1
117	1782	1
118	1443	1
118	1446	1
118	1791	1
121	1739	1
121	1811	1
121	1846	1
121	1847	1
121	1848	1
121	1855	1
123	1258	1
124	96	1
124	390	1
124	625	1
124	1622	1
124	1782	1
124	1843	1
124	1876	1
124	1880	1
124	1885	1
124	1886	1
124	1893	1
124	1903	1
124	1904	1
124	1921	1
124	1932	1
124	1938	1
124	1946	1
124	1947	1
124	1960	1
124	1977	1
124	1981	1
124	1982	1
124	2001	1
124	2009	1
124	2021	1
125	858	1
125	1774	1
139	2132	1
143	2149	1
155	592	1
158	1241	1
158	1835	1
158	2311	1
162	89	1
162	141	1
162	229	1
162	255	1
162	284	1
162	309	1
162	354	1
162	397	1
162	501	1
162	503	1
162	531	1
162	615	1
162	672	1
162	990	1
162	1002	1
162	1058	1
162	1097	1
162	1115	1
162	1144	1
162	1146	1
162	1158	1
162	1161	1
162	1163	1
162	1167	1
162	1196	1
162	1233	1
162	1259	1
162	1312	1
162	1328	1
162	1411	1
162	1442	1
162	1499	1
162	1526	1
162	1566	1
162	1592	1
162	1655	1
162	1814	1
162	1840	1
162	1855	1
162	1866	1
162	1880	1
162	1890	1
162	1907	1
162	2094	1
162	2116	1
162	2130	1
162	2279	1
162	2326	1
162	2327	1
162	2344	1
162	2348	1
162	2355	1
162	2356	1
162	2362	1
162	2364	1
162	2374	1
162	2375	1
162	2376	1
162	2379	1
162	2383	1
162	2384	1
162	2387	1
162	2393	1
162	2400	1
162	2404	1
162	2406	1
162	2407	1
162	2416	1
162	2425	1
162	2428	1
162	2443	1
162	2454	1
162	2456	1
162	2459	1
162	2465	1
162	2474	1
162	2475	1
162	2481	1
162	2482	1
162	2483	1
162	2490	1
162	2492	1
162	2499	1
162	2502	1
162	2504	1
162	2505	1
162	2520	1
162	2537	1
162	2542	1
162	2550	1
162	2551	1
162	2552	1
