visitorid	itemid	event
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	1
1	12	1
1	13	1
1	14	1
1	15	1
1	16	1
2	17	1
2	18	1
2	19	1
2	20	1
2	21	1
2	22	1
2	23	1
2	24	1
2	25	1
2	26	1
2	27	1
3	28	1
3	29	1
3	30	1
3	31	1
3	32	1
3	33	1
3	34	1
3	35	1
3	36	1
3	37	1
3	38	1
3	39	1
3	40	1
3	41	1
3	42	1
3	43	1
3	44	1
3	45	1
3	46	1
3	47	1
3	48	1
3	49	1
3	50	1
3	51	1
4	52	1
4	53	1
4	54	1
4	55	1
4	56	1
4	57	1
4	58	1
4	59	1
4	60	1
4	61	1
4	62	1
5	63	1
5	64	1
5	65	1
5	66	1
5	67	1
5	68	1
5	69	1
5	70	1
5	71	1
5	72	1
5	73	1
5	74	1
5	75	1
5	76	1
5	77	1
5	78	1
5	79	1
5	80	1
5	81	1
5	82	1
5	83	1
5	84	1
5	85	1
5	86	1
5	87	1
5	88	1
5	89	1
5	90	1
5	91	1
5	92	1
6	93	1
6	94	1
6	95	1
6	96	1
6	97	1
6	98	1
6	99	1
6	100	1
6	101	1
6	102	1
7	103	1
7	104	1
7	105	1
7	106	1
7	107	1
7	108	1
7	109	1
7	110	1
7	111	1
8	112	1
8	113	1
8	114	1
8	115	1
8	116	1
8	117	1
8	118	1
8	119	1
8	120	1
9	84	1
9	121	1
9	122	1
9	123	1
9	124	1
9	125	1
9	126	1
9	127	1
9	128	1
9	129	1
9	130	1
9	131	1
9	132	1
9	133	1
9	134	1
9	135	1
9	136	1
9	137	1
9	138	1
9	139	1
9	140	1
9	141	1
9	142	1
9	143	1
9	144	1
9	145	1
9	146	1
9	147	1
9	148	1
9	149	1
9	150	1
9	151	1
9	152	1
9	153	1
9	154	1
9	155	1
9	156	1
9	157	1
9	158	1
10	160	1
10	161	1
10	162	1
10	163	1
11	164	1
11	165	1
11	166	1
11	167	1
11	168	1
11	169	1
11	170	1
12	96	1
12	171	1
12	172	1
12	173	1
12	174	1
12	175	1
12	176	1
12	177	1
12	178	1
12	179	1
12	180	1
13	99	1
13	171	1
13	181	1
13	182	1
13	183	1
13	184	1
13	185	1
13	186	1
13	187	1
13	188	1
13	189	1
13	190	1
13	191	1
13	192	1
13	193	1
13	194	1
13	195	1
13	196	1
13	197	1
13	198	1
13	199	1
13	200	1
13	201	1
13	202	1
13	203	1
13	204	1
13	205	1
13	206	1
13	207	1
13	208	1
13	209	1
13	210	1
13	211	1
13	212	1
13	213	1
13	214	1
13	215	1
13	216	1
13	217	1
13	218	1
13	219	1
13	220	1
13	221	1
13	222	1
13	223	1
13	224	1
13	225	1
13	226	1
13	227	1
13	228	1
14	229	1
14	230	1
14	231	1
14	232	1
14	233	1
14	234	1
15	104	1
15	107	1
15	108	1
15	235	1
15	236	1
15	237	1
15	238	1
15	239	1
15	240	1
15	241	1
15	242	1
15	243	1
15	244	1
15	245	1
16	246	1
16	247	1
16	248	1
16	249	1
17	250	1
17	251	1
17	252	1
17	253	1
17	254	1
17	255	1
17	256	1
17	257	1
17	258	1
17	259	1
17	260	1
17	261	1
17	262	1
17	263	1
17	264	1
18	265	1
18	266	1
18	267	1
18	268	1
18	269	1
18	270	1
18	271	1
18	272	1
18	273	1
18	274	1
19	275	1
19	276	1
19	277	1
19	278	1
19	279	1
19	280	1
20	281	1
20	282	1
20	283	1
20	284	1
20	285	1
20	286	1
20	287	1
20	288	1
20	289	1
20	290	1
20	291	1
20	292	1
